Kuukausi;Puutavara 1000 m3
2014/09;5300
2014/10;5806
2014/11;4920
2014/12;4589
2015/01;5000
2015/02;5500
2015/03;6287
2015/04;3642
2015/05;2952
2015/06;3754
2015/07;2447
2015/08;4826
2015/09;5371
2015/10;5206
2015/11;4959
2015/12;4182
2016/01;4448
2016/02;6058
2016/03;6448
2016/04;4492
2016/05;3561
2016/06;3933
2016/07;2205
2016/08;5171
2016/09;5003
2016/10;5549
2016/11;5598
2016/12;5227
2017/01;6401
2017/02;6269
2017/03;7261
2017/04;4271
2017/05;3484
2017/06;3929
2017/07;2524
2017/08;5813
2017/09;5338
2017/10;6021
2017/11;5309
2017/12;4698
2018/01;6478
2018/02;6340
2018/03;6787
2018/04;5934
2018/05;3837
2018/06;5060
2018/07;3530
2018/08;5776
2018/09;5485
2018/10;6569
2018/11;6236
2018/12;5209
2019/01;6604
2019/02;6520
2019/03;6917
2019/04;5239
2019/05;4117
2019/06;4004
2019/07;3459
2019/08;5327
2019/09;5319
2019/10;5859
